,Name,ModificationDate,DrinkID,DrinkType,Category,GlassImageLink,Glass,IBA,Recipe,Video,Ingredients,Measure
0,'57 Chevy with a White License Plate,2016-07-18 22:49:04,14029.0,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,Highball glass,Unfiled,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,-1.0,Creme de Cacao,1 oz white 
1,1-900-FUK-MEUP,2016-07-18 22:27:04,15395.0,,Shot,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,Old-fashioned glass,,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,,Absolut Kurant,1/2 oz 
2,110 in the shade,2016-02-03 14:51:57,15423.0,,Beer,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,Beer Glass,,Drop shooter in glass. Fill with beer,,Lager,16 oz 
3,151 Florida Bushwacker,2016-07-18 22:28:43,14588.0,,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,Beer mug,,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,,Malibu rum,
4,155 Belmont,2016-10-05 12:36:28,15346.0,,,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,White wine glass,,Blend with ice. Serve in a wine glass. Garnish with carrot.,,Dark rum,1 shot 
5,24k nightmare,2016-07-18 22:31:38,17060.0,,,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,Shot glass,,"Add over ice,shake and pour.",,Goldschlager,
6,252,2016-07-18 22:32:42,15288.0,,,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,,,"Add both ingredients to shot glass, shoot, and get drunk quick",,151 proof rum,1/2 shot Bacardi 
7,3 Wise Men,2016-07-18 22:34:37,13899.0,,,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,Collins glass,,put them them in a glass... and slam it to tha head.,,Jack Daniels,1/3 oz 
8,3-Mile Long Island Iced Tea,2016-08-31 19:42:52,15300.0,,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,Collins Glass,,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,,Gin,
9,410 Gone,2016-08-31 19:43:46,13581.0,,,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,,,Unfiled,,Peach Vodka,2-3 oz
10,50/50,2016-04-29 09:41:56,14598.0,,,http://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,,,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,,Vanilla vodka,2 1/2 oz 
11,501 Blue,2016-04-28 19:11:37,17105.0,,,http://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,,,Mix equal amounts into a glass with ice.,,Blue Curacao,"
"
12,69 Special,2016-08-31 19:44:55,13940.0,,,http://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,,,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",,,2 oz dry 
13,747,2016-08-31 19:28:26,14229.0,,,http://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg,,,"pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!",,Kahlua,1/3 part 
14,9 1/2 Weeks,2016-08-31 19:48:22,16108.0,,,http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,Cocktail glass,,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,,Absolut Citron,2 oz 
15,A Day at the Beach,2016-02-03 15:47:54,15200.0,,,http://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg,,,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.",,Coconut rum,1 oz 
16,A Furlong Too Late,2016-08-31 19:46:06,11000.0,,,http://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,,,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,,Light rum,
17,A Gilligan's Island,2016-04-28 19:12:56,16943.0,,,http://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg,,,"Shaken, not stirred!",,Vodka,
18,A Night In Old Mandalay,2016-04-29 09:43:00,11001.0,,,http://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg,,,"In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.",,,
19,A Piece of Ass,2016-09-01 09:48:57,16405.0,,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/tqxyxx1472719737.jpg,,,Put ice in glass. Pour in shots. Fill with Sour Mix.,,Amaretto,
20,A Splash of Nash,2016-08-31 19:30:01,14564.0,,,http://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg,,,Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.,,Cranberry juice,
